Albania,624.08
Algeria,228.15
Argentina,512.88
Armenia,584.29
Australia,3653.04
Austria,2558.37
Azerbaijan,454.77
Bahrain,2248.43
Bangladesh,238.42
Belarus,519.01
Belgium,2540.3
Bolivia,420.14
Bosnia and Herzegovina,686.37
Brazil,404.66
Bulgaria,994.89
Canada,2812.39
Chile,681.52
China,943.72
Colombia,351.82
Costa Rica,971.24
Croatia,1341.59
Cuba,37.6
Cyprus,1796.98
Czech Republic,1556.88
Denmark,3568.45
Ecuador,496.32
Egypt,137.79
El Salvador,505.5
Estonia,1542.64
Finland,2797.4
France,2482.63
Georgia,482.41
Germany,2987.83
Greece,1014.13
Hong Kong (China),3715.3
Hungary,964.69
India,596.73
Indonesia,317.96
Iran,267.86
Iraq,523.92
Ireland,3069.45
Israel,2872.91
Italy,1704.93
Japan,2124.93
Jordan,672.24
Kazakhstan,543.09
Kenya,363.82
Kuwait,3054.97
Latvia,1189.65
Libya,342.6
Lithuania,1348.25
Luxembourg,5655.57
Malaysia,919.23
Malta,1541.31
Mauritius,627.88
Mexico,667.33
Moldova,570.85
Montenegro,840.45
Morocco,412.79
Nepal,220.93
Netherlands,3448.19
New Zealand,2914.01
Nigeria,144.96
North Macedonia,630.42
Norway,3305.28
Oman,2269.36
Pakistan,183.91
Palestine,678.69
Panama,829.74
Peru,418.51
Philippines,382.82
Poland,1475.07
Portugal,1112.94
Qatar,3999.83
Romania,943.01
Russia,512.34
Saudi Arabia,2219.28
Serbia,784.59
Singapore,4168.93
Slovakia,1216.16
South Africa,1382.71
South Korea,2341.0
Spain,1831.55
Sri Lanka,208.96
Sweden,2785.28
Switzerland,6668.45
Taiwan,1683.1
Thailand,596.04
Tunisia,300.85
Turkey,702.22
Ukraine,428.89
United Arab Emirates,3351.28
United Kingdom,3091.66
United States,4422.66
Uruguay,964.33
Uzbekistan,457.1
Venezuela,190.65
Vietnam,439.48
